Identifier, Size, 1B1, 1B2, 1B3, 1B4, 1B5
B4U62_RS02935, 578.0, , , , , 
B4U62_RS02940, 261.0, , , , , 
B4U62_RS02945, 480.3, , , , , 
B4U62_RS02960, 805.0, , , , , 
B4U62_RS02965, 749.0, , , , , 
B4U62_RS02970, 816.3, , , , , 
B4U62_RS02975, 1177.7, , , , , 
B4U62_RS02980, 1063.7, , , , , 
B4U62_RS02985, 442.0, , , , , 
B4U62_RS02990, 578.3, , , , , 
B4U62_RS02995, 634.0, , , , , 
B4U62_RS03000, 793.3, , , , , 
B4U62_RS03005, 1145.3, , , , , 
B4U62_RS03010, 439.3, , , , , 
B4U62_RS03015, 537.3, , , , , 
B4U62_RS03020, 359.7, , , , , 
B4U62_RS03025, 769.0, , , , , 
B4U62_RS03030, 409.7, , , , , 
B4U62_RS03035, 480.0, , , , , 
B4U62_RS03040, 1067.0, , , , , 
B4U62_RS03045, 559.7, , , , , 
B4U62_RS03050, 251.0, , , , , 
B4U62_RS03055, 377.7, , , , , 
B4U62_RS03060, 1008.7, , , , , 
B4U62_RS03070, 725.3, , , , , 
B4U62_RS03075, 856.3, , , , , 
B4U62_RS03080, 1167.0, , , , , 
B4U62_RS03085, 585.7, , , , , 
B4U62_RS03090, 535.3, , , , , 
B4U62_RS03095, 439.3, , , , , 
B4U62_RS03100, 146.7, , , , , 
B4U62_RS03105, 210.7, , , , , 
B4U62_RS03110, 1055.7, , , , , 
B4U62_RS03115, 495.0, , , , , 
B4U62_RS03120, 1768.0, , , , , 
B4U62_RS03125, 816.3, , , , , 
B4U62_RS03130, 650.0, , , , , 
B4U62_RS03135, 763.7, , , , , 
B4U62_RS03140, 821.3, , , , , 
B4U62_RS03145, 596.0, , , , , 
B4U62_RS03150, 743.7, , , , , 
B4U62_RS03155, 393.7, , , , , 
B4U62_RS03160, 367.0, , , , , 
B4U62_RS03165, 288.0, , , , , 
B4U62_RS03170, 284.3, , , , , 
B4U62_RS03175, 647.7, , , , , 
B4U62_RS03180, 566.0, , , , , 
B4U62_RS03185, 357.3, , , , , 
B4U62_RS03190, 202.0, , , , , 
B4U62_RS03195, 317.3, , , , , 
B4U62_RS03200, 560.7, , , , , 
B4U62_RS03205, 263.0, , , , , 
B4U62_RS03210, 480.3, , , , , 
B4U62_RS03215, 1402.7, , , , , 
B4U62_RS03220, 1212.0, , , , , 
B4U62_RS03225, 522.0, , , , , 
B4U62_RS03230, 432.0, , , , , 
B4U62_RS03235, 2037.3, , , , , 
B4U62_RS03240, 523.0, , , , , 
B4U62_RS03245, 490.7, , , , , 
B4U62_RS03250, 1003.3, , , , , 
B4U62_RS03255, 698.0, , , , , 
B4U62_RS03260, 639.7, , , , , 
B4U62_RS03265, 1064.7, , , , , 
B4U62_RS03270, 1035.3, , , , , 
B4U62_RS03275, 633.3, , , , , 
B4U62_RS03280, 1196.3, , , , , 
B4U62_RS03285, 397.3, , , , , 
B4U62_RS03290, 417.3, , , , , 
B4U62_RS03295, 468.3, , , , , 
B4U62_RS03300, 771.3, , , , , 
B4U62_RS03305, 589.0, 400:1:0.0284091;400:3:0.0754717;600:1:0.0522876;400:3:0.0958904;400:1:0.0540541;400:3:0.0927152;400:3:0.0993377;400:1:0.0331126, , , , 
B4U62_RS03310, 991.7, , , , , 
B4U62_RS03315, 327.7, , , , , 
B4U62_RS03320, 265.7, , , , , 
B4U62_RS03325, 1035.7, , , , , 
B4U62_RS03330, 1137.3, , , , , 
B4U62_RS03335, 662.0, , , , , 
B4U62_RS03340, 726.3, , , , , 
B4U62_RS03345, 738.3, , , , , 
B4U62_RS03350, 873.7, , , , , 
B4U62_RS03360, 178.0, , , , , 
B4U62_RS03365, 87.0, , , , , 
B4U62_RS03370, 1655.0, , , , , 
B4U62_RS03375, 3034.0, , , , , 
B4U62_RS03380, 167.0, , , , , 
B4U62_RS03385, 91.0, , , , , 
B4U62_RS03390, 137.0, , , , , 
B4U62_RS03395, 864.7, 400:1:0.039548, , , , 
B4U62_RS03400, 388.3, , , , , 
B4U62_RS03405, 514.3, , , , , 
B4U62_RS03410, 368.7, , , , , 
B4U62_RS03415, 793.3, , , , , 
B4U62_RS03420, 1631.3, , , , , 
B4U62_RS03425, 429.3, , , , , 
B4U62_RS03430, 496.7, , , , , 
B4U62_RS03435, 155.3, , , , , 
B4U62_RS03440, 590.7, , , , , 
B4U62_RS03445, 153.7, , , , , 
B4U62_RS03450, 691.0, , , , , 
B4U62_RS03455, 319.7, , , , , 
B4U62_RS03460, 1287.7, , , , , 
B4U62_RS03475, 398.3, , , , , 
B4U62_RS03480, 322.7, , , , , 
B4U62_RS03485, 250.3, , , , , 
B4U62_RS03490, 1109.7, , , , , 
B4U62_RS03495, 932.3, , , , , 
B4U62_RS03505, 842.7, , , , , 
B4U62_RS03510, 858.0, , , 600:1:0.0327869, , 
B4U62_RS03515, 1122.7, , , , , 
B4U62_RS03520, 372.0, , , , , 
B4U62_RS03530, 476.3, , , , , 
B4U62_RS03535, 2063.0, 800:3:0.0736842;400:3:0.228261;400:3:0.206522;400:3:0.129032;400:3:0.16129;400:3:0.204301;100:3:0.232558;400:3:0.133333;400:3:0.0917431;600:3:0.100917;400:3:0.113208;500:1:0.0518519;600:1:0.0359712, , 900:3:0.130435;800:3:0.0631579;400:3:0.165049, , 
B4U62_RS03540, 918.7, , , , , 
B4U62_RS03545, 1147.7, , , , , 
B4U62_RS03550, 835.7, , , , , 
B4U62_RS03555, 650.3, , , , , 
B4U62_RS03560, 885.7, , , , , 
B4U62_RS03565, 595.7, , , , , 
B4U62_RS03570, 813.0, , , , , 
B4U62_RS03575, 913.7, , , , , 
B4U62_RS03580, 1177.7, , , , , 
B4U62_RS03585, 937.7, , , , , 
B4U62_RS03590, 391.3, , , , , 
B4U62_RS03595, 898.3, , , , , 
B4U62_RS03600, 231.7, , , , , 
B4U62_RS03605, 244.0, , , , 700:1:0.0104167, 
B4U62_RS03610, 657.7, , , , , 
B4U62_RS03615, 901.3, , , , , 
B4U62_RS03620, 1315.0, , , , , 
B4U62_RS03625, 1167.3, , , , , 
B4U62_RS03630, 307.3, , , , , 
B4U62_RS03635, 672.7, , , , , 
B4U62_RS03640, 844.7, , , , , 
B4U62_RS03645, 919.3, , , , , 
B4U62_RS03650, 1750.0, , , , , 
B4U62_RS03655, 1312.0, , , , , 
B4U62_RS03660, 1090.0, , , , , 
B4U62_RS03665, 724.3, , , , , 
B4U62_RS03670, 235.7, , , , , 
B4U62_RS03675, 528.0, , , , , 
B4U62_RS03680, 159.0, , , , , 
B4U62_RS03685, 472.3, , , , , 
B4U62_RS03690, 889.7, , , , , 
B4U62_RS03695, 1009.3, , , , , 
B4U62_RS03700, 646.0, , , , , 
B4U62_RS03705, 197.0, , , , , 
B4U62_RS03710, 531.3, , , , , 
B4U62_RS03715, 1710.3, , , , , 
B4U62_RS03720, 1079.0, , , , , 
B4U62_RS03725, 902.3, , , , , 
B4U62_RS03730, 453.0, , , , 400:1:0.03125, 
B4U62_RS03735, 1182.0, , , , , 
B4U62_RS03740, 992.0, , , , , 
B4U62_RS03745, 428.0, , , , , 
B4U62_RS03750, 1006.0, , , , , 
B4U62_RS03755, 278.3, , , , , 
B4U62_RS03760, 1399.0, , , , , 
B4U62_RS03765, 802.3, , , , , 
B4U62_RS03770, 248.3, , , , , 
B4U62_RS03775, 1348.3, , , , , 
B4U62_RS03780, 637.0, , , , , 
B4U62_RS03785, 1794.3, , , , , 
B4U62_RS03790, 1577.7, , , , , 
B4U62_RS03800, 909.7, , , , , 
B4U62_RS03810, 1299.0, , , , , 
B4U62_RS03815, 329.7, , , , , 
B4U62_RS03820, 1129.0, , , , , 
B4U62_RS03825, 1127.7, , , , , 
B4U62_RS03830, 791.3, , , , , 
B4U62_RS03835, 2458.0, , , 500:3:0.079646, , 
B4U62_RS03840, 800.7, , , , , 
B4U62_RS03845, 1184.3, , , , , 
B4U62_RS03850, 772.3, , , , , 
B4U62_RS03855, 209.0, , , , , 
B4U62_RS03860, 2157.7, , , , , 
B4U62_RS03865, 1436.3, , , , , 
B4U62_RS03870, 1011.3, , , , , 
B4U62_RS03875, 320.0, , , , , 
B4U62_RS03880, 270.3, , , , , 
B4U62_RS03885, 389.7, , , , , 
B4U62_RS03890, 1693.3, , , , , 
B4U62_RS03895, 912.0, , , , , 
B4U62_RS03900, 1006.0, , , , , 
B4U62_RS03905, 127.3, , , , , 
B4U62_RS03910, 665.3, , , , , 
B4U62_RS03915, 453.0, , , , , 
B4U62_RS03920, 553.7, , , , , 
B4U62_RS03925, 433.0, , , , , 
B4U62_RS03930, 652.0, , , , , 
B4U62_RS03935, 301.7, , , , , 
B4U62_RS03940, 197.0, , , , , 
B4U62_RS03945, 460.7, , , , , 
B4U62_RS03950, 521.0, , , , , 
B4U62_RS03955, 253.3, , , , , 
B4U62_RS03960, 583.7, , , , , 
B4U62_RS03965, 1361.0, , , , , 
B4U62_RS03970, 859.0, , , , , 
B4U62_RS03975, 1108.7, , , , , 
B4U62_RS03980, 711.0, , , , , 
B4U62_RS03985, 690.0, , , , , 
B4U62_RS03990, 813.7, , , , , 
B4U62_RS03995, 1813.0, , , , , 
B4U62_RS04000, 554.7, , , , , 
B4U62_RS04005, 513.7, , , , , 
B4U62_RS04010, 476.0, , , , , 
B4U62_RS04015, 1528.7, , , , , 
B4U62_RS04020, 1470.0, , , , , 
B4U62_RS04025, 617.0, , , , , 
B4U62_RS04030, 1547.3, , , , , 
B4U62_RS04035, 2059.7, , , , , 
B4U62_RS04040, 1298.0, , , , , 
B4U62_RS04045, 803.7, 400:3:0.118919;500:3:0.0918919;400:3:0.113514, 400:3:0.0463576;400:3:0.033557, , , 
B4U62_RS04050, 689.0, , , , , 
B4U62_RS04055, 1045.3, , , , , 
B4U62_RS04060, 631.7, , , , , 
B4U62_RS04065, 367.0, , , , , 
B4U62_RS04070, 378.3, 400:3:0.12, 400:3:0.060241;400:3:0.0449438, 400:1:0.0277778, 600:1:0.0825688;600:3:0.150943;400:3:0.108911;400:3:0.125;400:3:0.141414, 
B4U62_RS04075, 479.0, , , , , 
B4U62_RS04085, 232.3, , , , , 
B4U62_RS04090, 594.7, , , , , 
B4U62_RS04095, 749.7, 400:1:0.1, , , 400:3:0.153846;400:1:0.105263, 
B4U62_RS04100, 509.0, , , , , 
B4U62_RS04105, 925.0, , , , , 
B4U62_RS04110, 935.7, , , , , 
B4U62_RS04115, 2516.3, , , , , 
B4U62_RS04120, 1618.7, , , , , 
B4U62_RS04125, 705.3, , , , , 
B4U62_RS04130, 766.0, , , , , 
B4U62_RS04135, 747.3, , , , , 
B4U62_RS04140, 959.3, , , , , 
B4U62_RS04145, 750.7, , , , , 
B4U62_RS04150, 1066.3, , , , , 
B4U62_RS04155, 651.0, , , , , 
B4U62_RS04160, 1207.7, , , , , 
B4U62_RS04165, 1232.3, , , , , 
B4U62_RS04170, 675.7, , , , , 
B4U62_RS04175, 1573.3, , , , , 
B4U62_RS04180, 450.3, , , , , 
B4U62_RS04185, 435.7, , , , , 
B4U62_RS04190, 954.3, , , , , 
B4U62_RS04195, 206.3, , , , , 
B4U62_RS04200, 129.0, , , , , 
B4U62_RS04205, 1314.0, , , , , 
B4U62_RS04210, 945.3, , , , , 
B4U62_RS04215, 420.0, , , , , 
B4U62_RS04220, 803.0, , , , , 
B4U62_RS04225, 150.3, , , , , 
B4U62_RS04230, 1094.0, , , , , 
B4U62_RS04235, 1279.0, , , , , 
B4U62_RS04240, 648.0, , , , , 
B4U62_RS04245, 797.0, , , , , 
B4U62_RS04250, 871.3, , , , , 
B4U62_RS04255, 850.0, 800:1:0.04, , , , 
B4U62_RS04260, 397.7, , , , , 
B4U62_RS04270, 379.7, , , , , 
B4U62_RS04275, 1085.7, , , , , 
B4U62_RS04280, 1190.3, , , , , 
B4U62_RS04285, 1358.7, , , , , 
B4U62_RS04290, 502.0, , , , , 
B4U62_RS04295, 757.7, , , , , 
B4U62_RS04300, 1086.7, , , , , 
B4U62_RS04305, 662.0, , , , , 
B4U62_RS04310, 959.7, , , , , 
B4U62_RS04315, 273.3, , , , , 
B4U62_RS04320, 515.0, , , , , 
B4U62_RS04325, 210.0, , , , , 
B4U62_RS04330, 230.7, , , , , 
B4U62_RS04335, 335.3, , , , , 
B4U62_RS04340, 696.0, 400:1:0.0117647, , , , 
B4U62_RS04345, 1103.0, , , , , 
B4U62_RS04350, 1638.3, , , , , 
B4U62_RS04355, 114.3, , , , , 
B4U62_RS04360, 330.7, , , , , 
B4U62_RS04365, 1168.0, , , , , 
B4U62_RS04370, 900.3, , , , , 
B4U62_RS04375, 175.7, , , , , 
B4U62_RS04380, 904.3, , , , , 
B4U62_RS04385, 1298.0, , , , , 
B4U62_RS04390, 1160.3, , , , , 
B4U62_RS04395, 1407.0, , , , , 
B4U62_RS04400, 585.0, , , , , 
B4U62_RS04405, 627.7, , , , , 
B4U62_RS04410, 3552.0, , , , , 
B4U62_RS04415, 504.3, , , , , 
B4U62_RS04420, 1051.0, , , , , 
B4U62_RS04425, 274.0, , , , , 
B4U62_RS04430, 475.3, , , , , 
B4U62_RS04435, 268.0, , , , , 
B4U62_RS04440, 652.7, , , , , 
B4U62_RS04445, 1034.3, , , , , 
B4U62_RS04450, 865.3, , , , , 
B4U62_RS04455, 690.7, , , , 700:1:0.0106383, 
B4U62_RS04460, 672.0, , , , , 
B4U62_RS04465, 974.7, , , , , 
B4U62_RS04470, 197.7, , , , , 
B4U62_RS04475, 727.0, , , , , 
B4U62_RS04480, 782.3, , , , , 
B4U62_RS04485, 864.3, , , , , 
B4U62_RS04490, 701.3, , , , , 
B4U62_RS04495, 1188.7, , , , , 
B4U62_RS04500, 314.7, , , , , 
B4U62_RS04505, 867.7, , , , , 
B4U62_RS04510, 455.7, , , , , 
B4U62_RS04515, 572.3, , , , , 
B4U62_RS04520, 887.7, , , , , 
B4U62_RS04525, 788.7, , , , , 
B4U62_RS04530, 931.7, , , , 700:1:0.00943396, 
B4U62_RS04540, 1506.0, , , , , 
B4U62_RS04545, 197.7, , , , , 
B4U62_RS04550, 310.3, , , , , 
B4U62_RS04555, 457.0, , , , , 
B4U62_RS04560, 476.0, , , , , 
B4U62_RS04565, 630.0, , , , , 
B4U62_RS04570, 981.0, , , , , 
B4U62_RS04575, 350.0, , , , , 
B4U62_RS04580, 1159.0, , , , , 
B4U62_RS04585, 672.3, , , , , 
B4U62_RS04590, 1234.7, , , , , 
B4U62_RS04595, 1417.0, , , , , 
B4U62_RS04600, 1396.0, , , , , 
B4U62_RS04605, 406.3, , , , , 
B4U62_RS04610, 674.0, , , , , 
B4U62_RS04615, 835.0, , , , , 
B4U62_RS04620, 1192.3, , , , , 
B4U62_RS04625, 765.7, , , , , 
B4U62_RS04630, 935.0, 800:3:0.0434783;800:1:0.0229885;800:3:0.0454545;800:1:0.0574713;800:3:0.0344828;400:3:0.091954;700:1:0.0116279;800:1:0.0235294;800:1:0.0229885;800:1:0.0465116, , , , 
B4U62_RS04635, 1031.7, , , , , 
B4U62_RS04640, 504.0, , , , , 
B4U62_RS04645, 818.3, , , , , 
B4U62_RS04650, 933.0, , , , , 
B4U62_RS04655, 903.7, , , , , 
B4U62_RS04660, 522.7, , , , , 
B4U62_RS04665, 585.3, , , , , 
B4U62_RS04670, 948.3, , , , , 
B4U62_RS04675, 490.7, , , , , 
B4U62_RS04680, 1077.0, , , , , 
B4U62_RS04685, 442.0, , , , , 
B4U62_RS04690, 1330.3, , , , , 
B4U62_RS04695, 487.7, , , , , 
B4U62_RS04700, 2043.3, , , , , 
B4U62_RS04705, 875.7, , , , , 
B4U62_RS04710, 778.7, , , , , 
B4U62_RS04715, 763.3, , , 400:3:0.0652174;400:3:0.0784314, , 
B4U62_RS04720, 788.0, , , , , 
B4U62_RS04725, 547.0, , , , , 
B4U62_RS04730, 215.3, , , , , 
B4U62_RS04735, 140.3, , , , , 
B4U62_RS04740, 803.0, , , , , 
B4U62_RS04745, 636.7, , , , , 
B4U62_RS04750, 248.3, , , , , 
B4U62_RS04755, 995.7, , , , , 
B4U62_RS04760, 219.3, , , , , 
B4U62_RS04765, 243.7, , , , , 
B4U62_RS04770, 502.3, , , , , 
B4U62_RS04775, 337.7, , , , , 
B4U62_RS04780, 661.0, , , , , 
B4U62_RS04785, 880.7, , , , , 
B4U62_RS04790, 2084.0, , , , , 
B4U62_RS04795, 886.3, , , , , 
B4U62_RS04800, 969.7, , , , , 
B4U62_RS04805, 256.0, , , , , 
B4U62_RS04810, 581.7, , , , , 
B4U62_RS04815, 275.0, 400:3:0.123967;500:3:0.103448;500:1:0.0258621;400:3:0.0560748;400:3:0.102804, 400:3:0.0616438, 400:1:0.0384615, 400:3:0.0826446, 
B4U62_RS04820, 365.0, , , , , 
B4U62_RS04825, 530.7, , , , , 
B4U62_RS04830, 1439.3, , , , , 
B4U62_RS04835, 959.7, , , , , 
B4U62_RS04840, 1138.7, , , , , 
B4U62_RS04845, 431.7, , , , , 
B4U62_RS04850, 446.3, 400:3:0.44186, , , , 
B4U62_RS04855, 384.3, , , , , 
B4U62_RS04860, 802.0, , , , , 
B4U62_RS04865, 1655.0, , , , , 
B4U62_RS04870, 3034.0, , , , , 
B4U62_RS04875, 217.0, , , , , 
B4U62_RS04880, 84.0, , , , , 
B4U62_RS04885, 97.0, , , , , 
B4U62_RS04890, 106.0, , , , , 
B4U62_RS04895, 85.0, , , , , 
B4U62_RS04900, 86.0, , , , , 
B4U62_RS04905, 88.0, , , , , 
B4U62_RS04910, 88.0, , , , , 
B4U62_RS04915, 78.0, , , , , 
B4U62_RS04920, 107.0, , , , , 
B4U62_RS04925, 79.0, , , , , 
B4U62_RS04930, 100.0, , , , , 
B4U62_RS04935, 81.0, , , , , 
B4U62_RS04940, 124.0, , , , , 
B4U62_RS04945, 76.0, , , , , 
B4U62_RS04950, 96.0, , , , , 
B4U62_RS04955, 183.0, , , , , 
B4U62_RS04960, 722.7, , , , , 
B4U62_RS04965, 204.0, , , , , 
B4U62_RS04970, 262.3, , , , , 
B4U62_RS04975, 545.3, , , , , 
B4U62_RS04980, 1491.3, , , , , 
B4U62_RS04985, 1167.3, , , , , 
B4U62_RS04990, 261.0, , , , , 
B4U62_RS04995, 1259.3, , , , , 
B4U62_RS05000, 690.7, , , , , 
B4U62_RS05005, 804.7, , , , , 
B4U62_RS05010, 619.3, , , , , 
B4U62_RS05015, 887.7, , , , , 
B4U62_RS05020, 527.3, , , , , 
B4U62_RS05025, 313.3, , , , , 
B4U62_RS05030, 379.3, , , , , 
B4U62_RS05035, 263.3, , , , , 
B4U62_RS05040, 167.0, , , , , 
B4U62_RS05045, 582.3, 600:1:0.0365854, , , , 
B4U62_RS05050, 907.3, , , , , 
B4U62_RS05055, 811.3, , , , , 
B4U62_RS05060, 415.3, , , , , 
B4U62_RS05065, 613.3, , , , , 
B4U62_RS05070, 543.0, 900:3:0.125;600:3:0.0925926, , , 400:1:0.0181818;400:3:0.0677966;500:1:0.0754717, 
B4U62_RS05075, 559.3, , , , , 
B4U62_RS05080, 1592.7, , , , , 
B4U62_RS05085, 1047.0, , , , , 
B4U62_RS05090, 463.7, , , , , 
B4U62_RS05095, 551.0, , , , , 
B4U62_RS05100, 1264.0, , , , , 
B4U62_RS05105, 435.0, , , , , 
B4U62_RS05110, 307.3, , , , , 
B4U62_RS05115, 120.7, , , , , 
B4U62_RS05120, 596.0, , , , , 
B4U62_RS05125, 287.7, , , , , 
B4U62_RS05130, 547.0, , , , , 
B4U62_RS05135, 733.7, , , 200:3:0.132353, , 
B4U62_RS05140, 723.0, , 300:1:0, , , 
B4U62_RS05145, 168.7, 400:3:0.109589, , 200:3:0.166667, , 
B4U62_RS05150, 162.7, , , , , 
B4U62_RS05155, 745.3, , , , , 
B4U62_RS05160, 974.7, , , , , 
B4U62_RS05165, 1119.0, , , , , 
B4U62_RS05170, 452.7, , , , , 
B4U62_RS05175, 496.7, , , , , 
B4U62_RS05180, 871.0, , , , , 
B4U62_RS05185, 546.3, , , , , 
B4U62_RS05190, 2837.7, , , , , 
B4U62_RS05195, 456.3, , , , , 
B4U62_RS05200, 816.7, , , , , 
B4U62_RS05205, 326.7, , , , , 
B4U62_RS05210, 422.7, , , , , 
B4U62_RS05215, 618.0, , , , , 
B4U62_RS05220, 1239.0, , , , , 
B4U62_RS05225, 1156.7, , , , , 
B4U62_RS05230, 489.0, , , , , 
B4U62_RS05235, 722.3, , , , , 
B4U62_RS05240, 1178.7, , , , , 
B4U62_RS05245, 1398.0, , , , , 
B4U62_RS05250, 1453.0, , , , , 
B4U62_RS05255, 988.7, , , , , 
B4U62_RS05260, 500.0, , , , , 
B4U62_RS05265, 403.3, , , , , 
B4U62_RS05270, 296.7, , , , , 
B4U62_RS05275, 355.3, , , , , 
B4U62_RS05280, 1255.3, , , , , 
B4U62_RS05285, 450.3, , , , , 
B4U62_RS05290, 1381.0, , , , , 
B4U62_RS05295, 1132.3, , , , , 
B4U62_RS05300, 1202.7, , , , , 
B4U62_RS05305, 878.0, , 500:1:0.017094;500:1:0.0325203;500:1:0.0241935, 400:1:0.0229885, , 
B4U62_RS05310, 797.3, , , , , 
B4U62_RS05315, 857.0, , , , , 
B4U62_RS05320, 745.0, , , , , 
B4U62_RS05325, 1152.7, , , , , 
B4U62_RS05330, 1126.7, , , , , 
B4U62_RS05335, 1208.0, , , , , 
B4U62_RS05340, 346.0, , , , , 
B4U62_RS05345, 236.0, , , , , 
B4U62_RS05350, 841.7, , , , , 
B4U62_RS05355, 479.0, , , , , 
B4U62_RS05360, 871.7, , , , , 
B4U62_RS05365, 565.3, , , , , 
B4U62_RS05370, 1139.7, , , , , 
B4U62_RS05375, 441.3, , , , , 
B4U62_RS05380, 981.7, , , , , 
B4U62_RS05385, 1167.7, , , , , 
B4U62_RS05390, 290.3, , , , , 
B4U62_RS05395, 309.7, , , , , 
B4U62_RS05400, 667.7, , , , , 
B4U62_RS05405, 187.3, , , , , 
B4U62_RS05410, 972.3, , , , , 
B4U62_RS05415, 653.7, , , , , 
B4U62_RS05420, 771.0, , , , , 
B4U62_RS05425, 754.3, , , , , 
B4U62_RS05430, 1207.0, , , , , 
B4U62_RS05435, 498.7, , , , , 
B4U62_RS05440, 190.0, , , , , 
B4U62_RS05445, 1453.3, , , , , 
B4U62_RS05455, 531.3, , , , , 
B4U62_RS05460, 201.7, , , , , 
B4U62_RS05465, 263.3, , , , , 
B4U62_RS05470, 277.7, , , , , 
B4U62_RS05475, 1094.7, , 400:3:0.1, , , 
B4U62_RS05480, 949.3, , , , , 
B4U62_RS05485, 978.0, , , , , 
B4U62_RS05490, 376.3, , , , , 
B4U62_RS05495, 962.0, , , , , 
B4U62_RS05500, 777.3, , , , , 
B4U62_RS05505, 1291.0, , , , , 
B4U62_RS05510, 993.7, , , , , 
B4U62_RS05515, 457.7, , , , , 
B4U62_RS05520, 364.3, , , , , 
B4U62_RS05525, 655.3, , , , , 
B4U62_RS05530, 252.0, , , , , 
B4U62_RS05535, 731.0, , , , , 
B4U62_RS05540, 954.7, , , , 800:1:0, 
B4U62_RS05545, 1063.0, , , , , 
B4U62_RS05550, 2273.3, , , , , 
B4U62_RS05555, 813.0, , , , , 
B4U62_RS05560, 274.7, , , , , 
B4U62_RS05565, 820.7, , , , , 
B4U62_RS05570, 124.7, , , , , 
B4U62_RS05575, 167.3, , , , , 
B4U62_RS05580, 249.7, , , , , 
B4U62_RS05585, 526.7, , , , , 
B4U62_RS05590, 375.0, , , , , 
B4U62_RS05595, 584.3, , , , , 
B4U62_RS05600, 384.0, , , , , 
B4U62_RS05605, 172.7, , , , , 
B4U62_RS05610, 526.3, , , , , 
B4U62_RS05615, 960.7, , , , , 
B4U62_RS05620, 457.0, , , , , 
B4U62_RS05625, 675.7, , , , , 
B4U62_RS05630, 932.0, , , , , 
B4U62_RS05635, 575.0, , , , , 
B4U62_RS05640, 1013.7, , , , , 
B4U62_RS05645, 1186.0, , , , , 
B4U62_RS05650, 309.0, , , , , 
B4U62_RS05655, 494.7, , , , , 
B4U62_RS05660, 1686.3, , , , , 
B4U62_RS05665, 928.3, , , , , 
B4U62_RS05670, 807.3, , , , , 
B4U62_RS05675, 1103.0, , , , , 
B4U62_RS05680, 555.3, , , , , 
B4U62_RS05685, 1884.0, , , , , 
B4U62_RS05690, 868.7, , , , , 
B4U62_RS05695, 619.7, , , , , 
B4U62_RS05700, 250.3, , , , , 
B4U62_RS05705, 844.7, , , , , 
B4U62_RS05710, 335.0, , , , , 
B4U62_RS05715, 1147.0, , , , , 
B4U62_RS05720, 211.7, , , , , 
B4U62_RS05725, 618.7, , , , , 
B4U62_RS05730, 803.7, , , , , 
B4U62_RS05735, 555.3, , , , , 
B4U62_RS05740, 1300.7, , , , , 
B4U62_RS05745, 419.0, , , , , 
B4U62_RS05750, 1043.0, , , , , 
B4U62_RS05755, 1008.3, , , , , 
B4U62_RS05760, 452.0, , , , , 
B4U62_RS05765, 819.7, , , , , 
B4U62_RS05770, 853.7, , , , , 
B4U62_RS05775, 524.3, , , , , 
B4U62_RS05780, 861.3, , , , , 
B4U62_RS05785, 1127.0, , , , , 
B4U62_RS05790, 558.3, , , , , 
B4U62_RS05795, 1149.0, , , , , 
B4U62_RS05800, 1311.0, , , , , 
B4U62_RS05805, 672.3, , , , , 
B4U62_RS05810, 287.3, , , , , 
B4U62_RS05815, 559.3, , , , , 
B4U62_RS05820, 813.3, 400:1:0.00884956, , , , 
B4U62_RS05825, 310.7, , , , , 
B4U62_RS05830, 1175.0, , , , , 
B4U62_RS05835, 259.3, , , , , 
B4U62_RS05840, 392.3, , , , , 
B4U62_RS05845, 525.3, , , , , 
B4U62_RS05850, 397.0, , , , , 
B4U62_RS05855, 1231.0, , , , , 
B4U62_RS05860, 492.0, , , , , 
B4U62_RS05865, 1051.7, , , , , 
B4U62_RS05870, 855.7, , , , , 
B4U62_RS05875, 675.0, , , , , 
B4U62_RS05880, 1155.3, , , , , 
B4U62_RS05885, 790.3, , , , , 
B4U62_RS05890, 1032.3, , , , , 
B4U62_RS05895, 1078.7, , , , , 
B4U62_RS05900, 1364.7, , , , , 
B4U62_RS05905, 357.0, , , , , 
B4U62_RS05910, 441.3, , , , , 
B4U62_RS05915, 2821.3, , , , , 
B4U62_RS05920, 2865.7, , , , , 
B4U62_RS05925, 972.7, , , , , 
B4U62_RS05930, 2657.7, , , , , 
B4U62_RS05935, 252.7, , , , , 
B4U62_RS05940, 202.0, , , , , 
B4U62_RS05945, 313.3, , , , , 
B4U62_RS05950, 140.3, , , , , 
B4U62_RS05955, 502.3, , , , , 
B4U62_RS05960, 196.3, , , , , 
B4U62_RS05965, 268.0, , , , , 
B4U62_RS05970, 239.7, , , , , 
B4U62_RS05975, 823.3, , , , , 
B4U62_RS05980, 757.7, , , , , 
B4U62_RS05985, 370.0, , , , , 
B4U62_RS05990, 2188.7, , , , , 
B4U62_RS05995, 556.7, , , , , 
B4U62_RS06000, 1497.3, , , , , 
B4U62_RS06005, 492.3, , , , , 
B4U62_RS06010, 748.3, , , , , 
B4U62_RS06015, 1202.0, , , , , 
B4U62_RS06020, 698.7, , , , , 
B4U62_RS06025, 799.7, , , , , 
B4U62_RS06030, 896.7, , , , , 
B4U62_RS06035, 448.3, , , , , 
B4U62_RS06040, 595.3, , , , , 
B4U62_RS06045, 1115.7, , , , , 
B4U62_RS06050, 611.0, , , , , 
B4U62_RS06055, 734.0, , , , , 
B4U62_RS06060, 465.3, , , , , 
B4U62_RS06065, 1007.3, , , , , 
B4U62_RS06070, 652.7, , , , , 
B4U62_RS06075, 617.0, , , , , 
B4U62_RS06080, 595.0, , , , , 
B4U62_RS06085, 604.7, , , , , 
B4U62_RS06090, 873.0, , , , , 
