Position, Gene, Allele, Annotation, Test statistic, P-value, Deletion index, Fold reduction, Deletion P-value, Duplication index, Fold increase, Duplication pvalue, Passed?, AC:100, DP:100, AC:200, DP:200, AC:300, DP:300, AC:400, DP:400, AC:600, DP:600, AC:700, DP:700
1963283, FFI16_RS09235, C->G, synonymous, -4.07691287668, 0.415, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 122.0, 0.0, 42.0, 1.0, 122.0, 0.0, 100.0, 2.0, 104.0, 2.0, 75.0
1966114, FFI16_RS09245, T->G, synonymous, -4.21565161771, 0.4197, 7, 1, 1, 1, 1, 1, FAIL, 2.0, 138.0, 0.0, 34.0, 2.0, 149.0, 0.0, 121.0, 1.0, 105.0, 0.0, 142.0
1966250, FFI16_RS09245, A->C, synonymous, -0.575433908094, 0.4043, 7, 1, 1, 1, 1, 1, FAIL, 2.0, 140.0, 0.0, 45.0, 3.0, 151.0, 1.0, 169.0, 13.0, 154.0, 7.0, 169.0
1966327, FFI16_RS09245, G->C, missense, -3.7767323101, 0.4292, 7, 1, 1, 1, 1, 1, FAIL, 3.0, 141.0, 0.0, 37.0, 2.0, 154.0, 0.0, 101.0, 1.0, 95.0, 0.0, 123.0
1971358, FFI16_RS09260, A->C, noncoding, 0.424192118355, 0.2176, 7, 1, 1, 1, 1, 1, FAIL, 2.0, 75.0, 0.0, 36.0, 3.0, 96.0, 11.0, 41.0, 17.0, 112.0, 43.0, 152.0
1971361, FFI16_RS09260, G->C, noncoding, -0.475565925881, 0.3749, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 73.0, 0.0, 37.0, 2.0, 96.0, 6.0, 36.0, 2.0, 108.0, 17.0, 140.0
1973956, intergenic, G->T, noncoding, -0.597781901525, 0.3907, 7, 1, 1, 1, 1, 1, FAIL, 2.0, 51.0, 0.0, 10.0, 2.0, 58.0, 3.0, 15.0, 2.0, 91.0, 6.0, 101.0
1973962, intergenic, G->T, noncoding, -2.94242527174, 0.3747, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 53.0, 0.0, 10.0, 3.0, 56.0, 3.0, 16.0, 1.0, 92.0, 4.0, 106.0
1973968, intergenic, G->T, noncoding, -0.415030109146, 0.3588, 7, 1, 1, 1, 1, 1, FAIL, 2.0, 53.0, 0.0, 11.0, 3.0, 57.0, 5.0, 19.0, 4.0, 99.0, 20.0, 111.0
1973977, intergenic, G->T, noncoding, -0.565293475413, 0.3847, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 53.0, 0.0, 9.0, 1.0, 55.0, 4.0, 19.0, 3.0, 98.0, 5.0, 110.0
1973991, intergenic, C->A, noncoding, -0.617562330697, 0.3714, 7, 1, 1, 1, 1, 1, FAIL, 2.0, 49.0, 0.0, 11.0, 2.0, 56.0, 6.0, 20.0, 3.0, 93.0, 8.0, 97.0
1979252, FFI16_RS09295, C->A, nonsense, 0.227675274267, 0.2344, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 106.0, 0.0, 34.0, 6.0, 134.0, 18.0, 90.0, 6.0, 93.0, 11.0, 102.0
1979277, FFI16_RS09295, G->C, synonymous, -0.123971095916, 0.3836, 7, 1, 1, 1, 1, 1, FAIL, 3.0, 108.0, 0.0, 38.0, 5.0, 129.0, 16.0, 99.0, 4.0, 85.0, 6.0, 110.0
1980504, FFI16_RS09300, A->C, missense, -2.13963928275, 0.3586, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 116.0, 0.0, 32.0, 2.0, 109.0, 1.0, 79.0, 2.0, 87.0, 0.0, 92.0
1980816, FFI16_RS09300, A->C, synonymous, -2.12247099499, 0.4259, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 132.0, 0.0, 52.0, 1.0, 133.0, 0.0, 139.0, 2.0, 117.0, 6.0, 138.0
1980904, FFI16_RS09300, T->G, missense, -1.04448227794, 0.4145, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 139.0, 0.0, 42.0, 2.0, 160.0, 1.0, 157.0, 2.0, 151.0, 3.0, 166.0
1980966, FFI16_RS09300, A->C, missense, -1.07202018434, 0.4132, 7, 1, 1, 1, 1, 1, FAIL, 2.0, 138.0, 0.0, 40.0, 0.0, 172.0, 1.0, 169.0, 2.0, 147.0, 1.0, 149.0
1998440, intergenic, T->G, noncoding, -0.528907847586, 0.493, 7, 1, 1, 1, 1, 1, FAIL, 2.0, 50.0, 0.0, 14.0, 0.0, 34.0, 0.0, 22.0, 2.0, 29.0, 5.0, 33.0
2017208, FFI16_RS09465, T->G, synonymous, 0.390668596343, 0.1373, 7, 1, 1, 1, 1, 1, FAIL, 2.0, 126.0, 0.0, 66.0, 4.0, 136.0, 5.0, 78.0, 13.0, 78.0, 4.0, 83.0
2017210, FFI16_RS09465, C->G, synonymous, 0.169838859094, 0.3, 7, 1, 1, 1, 1, 1, FAIL, 4.0, 126.0, 0.0, 66.0, 4.0, 136.0, 13.0, 78.0, 7.0, 78.0, 7.0, 84.0
2017215, FFI16_RS09465, G->T, missense, 0.0154123605909, 0.3768, 7, 1, 1, 1, 1, 1, FAIL, 4.0, 130.0, 0.0, 67.0, 2.0, 137.0, 15.0, 83.0, 6.0, 79.0, 6.0, 88.0
2021237, FFI16_RS09480, T->G, synonymous, 0.0832909876165, 0.3654, 7, 1, 1, 1, 1, 1, FAIL, 5.0, 114.0, 0.0, 48.0, 6.0, 107.0, 33.0, 99.0, 18.0, 117.0, 9.0, 19.0
2021240, FFI16_RS09480, T->G, synonymous, 0.502095855032, 0.1107, 7, 1, 1, 1, 1, 1, FAIL, 4.0, 116.0, 0.0, 47.0, 3.0, 110.0, 11.0, 99.0, 7.0, 117.0, 5.0, 20.0
2021242, FFI16_RS09480, C->G, synonymous, -0.280815109714, 0.3878, 7, 1, 1, 1, 1, 1, FAIL, 5.0, 113.0, 0.0, 46.0, 4.0, 107.0, 17.0, 99.0, 5.0, 119.0, 5.0, 24.0
2021248, FFI16_RS09480, T->G, missense, 0.27845034965, 0.1915, 7, 1, 1, 1, 1, 1, FAIL, 7.0, 117.0, 0.0, 46.0, 5.0, 104.0, 24.0, 98.0, 27.0, 118.0, 4.0, 27.0
2021255, FFI16_RS09480, A->C, synonymous, 0.666888734618, 0.1166, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 118.0, 1.0, 45.0, 0.0, 105.0, 4.0, 101.0, 8.0, 116.0, 4.0, 30.0
2021255, FFI16_RS09480, A->G, missense, 0.303062616391, 0.2011, 7, 1, 1, 1, 1, 1, FAIL, 3.0, 118.0, 0.0, 45.0, 4.0, 105.0, 20.0, 101.0, 10.0, 116.0, 5.0, 30.0
2021259, FFI16_RS09480, T->A, synonymous, -0.340919977582, 0.3794, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 117.0, 0.0, 49.0, 0.0, 109.0, 16.0, 102.0, 5.0, 120.0, 5.0, 36.0
2021262, FFI16_RS09480, C->A, missense, 0.263737460954, 0.243, 7, 1, 1, 1, 1, 1, FAIL, 3.0, 114.0, 0.0, 51.0, 3.0, 107.0, 24.0, 99.0, 19.0, 121.0, 9.0, 37.0
2021278, FFI16_RS09480, T->G, missense, 0.230433415849, 0.266, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 103.0, 0.0, 44.0, 3.0, 112.0, 12.0, 96.0, 9.0, 120.0, 9.0, 48.0
2048877, FFI16_RS09630, C->A, synonymous, -0.587462304284, 0.4049, 7, 1, 1, 1, 1, 1, FAIL, 4.0, 128.0, 0.0, 53.0, 2.0, 85.0, 16.0, 107.0, 0.0, 92.0, 3.0, 91.0
2049986, FFI16_RS09635, T->A, synonymous, -0.317619456639, 0.3842, 7, 1, 1, 1, 1, 1, FAIL, 7.0, 128.0, 0.0, 39.0, 3.0, 88.0, 14.0, 57.0, 3.0, 72.0, 10.0, 101.0
2052850, FFI16_RS09640, T->G, synonymous, -0.25478143418, 0.2422, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 132.0, 0.0, 44.0, 2.0, 137.0, 0.0, 106.0, 6.0, 118.0, 0.0, 120.0
2052898, FFI16_RS09640, T->G, synonymous, -3.77888408297, 0.3972, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 133.0, 0.0, 45.0, 1.0, 119.0, 1.0, 133.0, 2.0, 125.0, 5.0, 147.0
2068536, FFI16_RS09660, A->C, synonymous, -3.00104547411, 0.4073, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 129.0, 0.0, 35.0, 1.0, 118.0, 2.0, 194.0, 2.0, 129.0, 4.0, 204.0
2098990, intergenic, G->T, noncoding, 0.796304096232, 0.136, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 117.0, 0.0, 35.0, 0.0, 98.0, 5.0, 78.0, 3.0, 35.0, 10.0, 57.0
2099003, intergenic, C->A, noncoding, 0.665842515539, 0.13, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 116.0, 0.0, 36.0, 2.0, 99.0, 6.0, 74.0, 4.0, 37.0, 13.0, 57.0
2099006, FFI16_RS09765, C->T, unknown, 1.10177365594, 0.0835, 7, 1, 1, 1, 1, 1, PASS, 0.0, 115.0, 0.0, 36.0, 1.0, 102.0, 3.0, 70.0, 4.0, 36.0, 11.0, 57.0
2105054, intergenic, A->T, noncoding, 0.254406549796, 0.3327, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 49.0, 0.0, 11.0, 0.0, 29.0, 2.0, 9.0, 6.0, 57.0, 6.0, 33.0
2105450, FFI16_RS09815, A->C, synonymous, 0.198242940365, 0.3193, 7, 1, 1, 1, 1, 1, FAIL, 4.0, 150.0, 0.0, 48.0, 3.0, 104.0, 0.0, 120.0, 14.0, 88.0, 12.0, 125.0
2118209, FFI16_RS09890, C->A, missense, -0.641532011631, 0.4055, 7, 1, 1, 1, 1, 1, FAIL, 3.0, 117.0, 0.0, 50.0, 2.0, 93.0, 10.0, 71.0, 1.0, 92.0, 2.0, 108.0
2118215, FFI16_RS09890, A->C, missense, 0.0228884974268, 0.372, 7, 1, 1, 1, 1, 1, FAIL, 9.0, 106.0, 0.0, 47.0, 12.0, 91.0, 14.0, 65.0, 8.0, 85.0, 9.0, 98.0
2118217, FFI16_RS09890, C->G, synonymous, -0.80368405101, 0.3959, 7, 1, 1, 1, 1, 1, FAIL, 2.0, 104.0, 0.0, 48.0, 1.0, 91.0, 9.0, 65.0, 1.0, 86.0, 4.0, 99.0
2125174, FFI16_RS09910, A->C, synonymous, 0.712667477387, 0.1404, 7, 1, 1, 1, 1, 1, FAIL, 2.0, 130.0, 0.0, 41.0, 1.0, 130.0, 1.0, 106.0, 6.0, 45.0, 5.0, 71.0
2129464, FFI16_RS09930, G->T, missense, 0.192075962415, 0.267, 7, 1, 1, 1, 1, 1, FAIL, 7.0, 113.0, 1.0, 47.0, 4.0, 95.0, 13.0, 61.0, 13.0, 75.0, 10.0, 80.0
2129476, FFI16_RS09930, C->G, synonymous, 0.0625938432505, 0.3749, 7, 1, 1, 1, 1, 1, FAIL, 5.0, 109.0, 0.0, 63.0, 2.0, 87.0, 10.0, 62.0, 5.0, 66.0, 5.0, 83.0
2129508, FFI16_RS09930, G->T, missense, -0.118421954476, 0.3835, 7, 1, 1, 1, 1, 1, FAIL, 4.0, 100.0, 0.0, 66.0, 1.0, 84.0, 15.0, 54.0, 4.0, 56.0, 6.0, 72.0
2129512, FFI16_RS09930, G->T, missense, -0.21268015166, 0.3811, 7, 1, 1, 1, 1, 1, FAIL, 7.0, 98.0, 0.0, 64.0, 1.0, 84.0, 19.0, 55.0, 5.0, 56.0, 14.0, 71.0
2129515, FFI16_RS09930, G->T, missense, 0.107948317613, 0.3334, 7, 1, 1, 1, 1, 1, FAIL, 7.0, 99.0, 0.0, 62.0, 2.0, 85.0, 16.0, 53.0, 6.0, 55.0, 10.0, 70.0
2153886, FFI16_RS09990, G->C, synonymous, 0.244719046815, 0.2682, 7, 1, 1, 1, 1, 1, FAIL, 2.0, 158.0, 0.0, 77.0, 6.0, 156.0, 25.0, 132.0, 9.0, 121.0, 20.0, 200.0
2153898, FFI16_RS09990, A->C, synonymous, 0.587737545505, 0.1576, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 155.0, 0.0, 72.0, 3.0, 145.0, 12.0, 113.0, 19.0, 109.0, 19.0, 174.0
2165163, FFI16_RS09995, G->T, missense, 0.669046934476, 0.1436, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 102.0, 0.0, 34.0, 1.0, 108.0, 5.0, 121.0, 13.0, 87.0, 18.0, 89.0
2165164, FFI16_RS09995, G->T, missense, 0.556254198865, 0.1497, 7, 1, 1, 1, 1, 1, FAIL, 3.0, 99.0, 0.0, 32.0, 1.0, 105.0, 7.0, 116.0, 16.0, 82.0, 16.0, 83.0
2165165, FFI16_RS09995, G->T, synonymous, 0.672908167685, 0.1528, 7, 1, 1, 1, 1, 1, FAIL, 3.0, 102.0, 0.0, 34.0, 0.0, 108.0, 5.0, 118.0, 16.0, 84.0, 17.0, 85.0
2165172, FFI16_RS09995, C->G, missense, 0.767366363842, 0.1491, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 100.0, 0.0, 36.0, 1.0, 106.0, 4.0, 115.0, 12.0, 80.0, 13.0, 82.0
2165173, FFI16_RS09995, C->G, missense, 0.822021112895, 0.1482, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 100.0, 0.0, 35.0, 0.0, 100.0, 3.0, 110.0, 12.0, 80.0, 10.0, 81.0
2165176, FFI16_RS09995, G->T, missense, 0.643250254809, 0.1535, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 106.0, 0.0, 36.0, 1.0, 100.0, 4.0, 114.0, 14.0, 84.0, 12.0, 84.0
2167437, intergenic, T->A, noncoding, -0.0487783838113, 0.3918, 7, 1, 1, 1, 1, 1, FAIL, 4.0, 71.0, 0.0, 21.0, 5.0, 82.0, 4.0, 27.0, 1.0, 81.0, 4.0, 136.0
2176719, FFI16_RS10030, G->T, missense, 0.0569709415395, 0.3604, 7, 1, 1, 1, 1, 1, FAIL, 6.0, 119.0, 0.0, 38.0, 3.0, 105.0, 39.0, 126.0, 24.0, 135.0, 29.0, 157.0
2176720, FFI16_RS10030, C->G, synonymous, -0.18725020703, 0.3619, 7, 1, 1, 1, 1, 1, FAIL, 5.0, 120.0, 0.0, 38.0, 4.0, 106.0, 37.0, 125.0, 13.0, 135.0, 18.0, 157.0
2176726, FFI16_RS10030, T->G, missense, 0.143031100213, 0.3725, 7, 1, 1, 1, 1, 1, FAIL, 3.0, 127.0, 0.0, 41.0, 5.0, 109.0, 44.0, 134.0, 29.0, 136.0, 39.0, 160.0
2176729, FFI16_RS10030, C->A, missense, 0.188714123787, 0.3614, 7, 1, 1, 1, 1, 1, FAIL, 4.0, 128.0, 0.0, 41.0, 1.0, 108.0, 30.0, 134.0, 26.0, 138.0, 21.0, 163.0
2176733, FFI16_RS10030, A->G, missense, 0.0607003474708, 0.3935, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 128.0, 0.0, 40.0, 0.0, 110.0, 26.0, 134.0, 14.0, 136.0, 17.0, 162.0
2176738, FFI16_RS10030, G->C, synonymous, -0.178824622516, 0.3627, 7, 1, 1, 1, 1, 1, FAIL, 6.0, 130.0, 0.0, 38.0, 0.0, 109.0, 30.0, 129.0, 11.0, 133.0, 24.0, 159.0
2176748, FFI16_RS10030, T->A, synonymous, 0.099460160927, 0.3737, 7, 1, 1, 1, 1, 1, FAIL, 2.0, 128.0, 0.0, 39.0, 3.0, 116.0, 31.0, 127.0, 19.0, 136.0, 19.0, 172.0
2200347, intergenic, G->T, noncoding, -0.927675206305, 0.3995, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 69.0, 0.0, 26.0, 2.0, 80.0, 4.0, 20.0, 0.0, 47.0, 5.0, 63.0
2200361, intergenic, A->G, noncoding, 0.668966408005, 0.1917, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 80.0, 0.0, 24.0, 0.0, 75.0, 2.0, 19.0, 6.0, 48.0, 11.0, 59.0
2204426, FFI16_RS10155, G->T, missense, -0.0872830495049, 0.3979, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 142.0, 0.0, 62.0, 2.0, 152.0, 0.0, 118.0, 15.0, 105.0, 5.0, 123.0
2206784, FFI16_RS10175, T->G, missense, 0.223112288678, 0.3769, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 128.0, 0.0, 40.0, 2.0, 124.0, 12.0, 68.0, 11.0, 117.0, 19.0, 132.0
2213184, intergenic, C->A, noncoding, -2.72242647059, 0.4056, 7, 1, 1, 1, 1, 1, FAIL, 3.0, 82.0, 0.0, 22.0, 3.0, 87.0, 5.0, 34.0, 0.0, 68.0, 5.0, 111.0
2217742, FFI16_RS10215, G->T, missense, -0.510842247428, 0.411, 7, 1, 1, 1, 1, 1, FAIL, 2.0, 136.0, 0.0, 45.0, 1.0, 129.0, 0.0, 117.0, 11.0, 76.0, 3.0, 80.0
2248865, FFI16_RS10325, C->A, missense, -0.138454934748, 0.3853, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 106.0, 0.0, 39.0, 0.0, 102.0, 2.0, 141.0, 13.0, 78.0, 4.0, 92.0
2250144, FFI16_RS10330, T->A, synonymous, -0.761471009464, 0.3919, 7, 1, 1, 1, 1, 1, FAIL, 3.0, 105.0, 0.0, 46.0, 2.0, 71.0, 11.0, 66.0, 3.0, 62.0, 0.0, 67.0
2250160, FFI16_RS10330, A->C, missense, -1.79987741404, 0.4241, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 100.0, 0.0, 43.0, 2.0, 73.0, 9.0, 63.0, 0.0, 57.0, 2.0, 67.0
2250171, FFI16_RS10330, C->A, synonymous, 0.31125696655, 0.2454, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 100.0, 0.0, 46.0, 2.0, 74.0, 9.0, 58.0, 5.0, 59.0, 5.0, 68.0
2271212, FFI16_RS10430, G->T, synonymous, -0.337038623352, 0.3953, 7, 1, 1, 1, 1, 1, FAIL, 4.0, 135.0, 0.0, 47.0, 1.0, 100.0, 9.0, 63.0, 3.0, 71.0, 3.0, 74.0
2291384, FFI16_RS10525, A->C, synonymous, 0.469845844161, 0.2046, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 103.0, 1.0, 43.0, 0.0, 117.0, 12.0, 71.0, 10.0, 110.0, 27.0, 117.0
2291392, FFI16_RS10525, G->T, missense, -0.0756130553056, 0.383, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 104.0, 1.0, 44.0, 0.0, 117.0, 16.0, 70.0, 10.0, 109.0, 12.0, 123.0
2291395, FFI16_RS10525, G->T, missense, 0.287654587015, 0.3096, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 101.0, 0.0, 44.0, 1.0, 117.0, 18.0, 70.0, 18.0, 108.0, 12.0, 124.0
2291402, FFI16_RS10525, A->C, synonymous, 0.281687808263, 0.2837, 7, 1, 1, 1, 1, 1, FAIL, 2.0, 104.0, 1.0, 47.0, 1.0, 118.0, 10.0, 71.0, 14.0, 109.0, 24.0, 122.0
2291414, FFI16_RS10525, A->T, missense, 0.0600988593995, 0.3725, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 113.0, 1.0, 49.0, 1.0, 112.0, 15.0, 74.0, 7.0, 116.0, 12.0, 128.0
2291421, FFI16_RS10525, C->G, synonymous, 0.0654451712906, 0.3821, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 116.0, 0.0, 49.0, 2.0, 111.0, 14.0, 76.0, 8.0, 113.0, 9.0, 123.0
2294760, FFI16_RS10535, G->T, missense, -1.02723354443, 0.3961, 7, 1, 1, 1, 1, 1, FAIL, 4.0, 132.0, 0.0, 35.0, 1.0, 108.0, 16.0, 99.0, 1.0, 96.0, 5.0, 133.0
2294785, FFI16_RS10535, G->T, missense, -0.762674313656, 0.3879, 7, 1, 1, 1, 1, 1, FAIL, 4.0, 120.0, 0.0, 38.0, 1.0, 100.0, 17.0, 93.0, 2.0, 97.0, 7.0, 115.0
2303005, FFI16_RS10540, A->C, missense, 0.148115087901, 0.3401, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 112.0, 0.0, 30.0, 4.0, 76.0, 2.0, 52.0, 9.0, 56.0, 3.0, 40.0
2308851, FFI16_RS10575, G->T, noncoding, 1.16021522895, 0.1302, 7, 1, 1, 1, 1, 1, FAIL, 2.0, 85.0, 0.0, 30.0, 1.0, 182.0, 2.0, 35.0, 0.0, 24.0, 4.0, 31.0
2308881, FFI16_RS10575, C->A, missense, 1.41939048017, 0.1102, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 48.0, 0.0, 19.0, 2.0, 193.0, 2.0, 31.0, 0.0, 12.0, 3.0, 18.0
2309818, FFI16_RS10585, C->A, noncoding, -0.458975886356, 0.3784, 7, 1, 1, 1, 1, 1, FAIL, 11.0, 147.0, 0.0, 36.0, 9.0, 126.0, 17.0, 90.0, 5.0, 104.0, 7.0, 119.0
2309821, FFI16_RS10585, C->A, noncoding, -0.0480119612972, 0.3783, 7, 1, 1, 1, 1, 1, FAIL, 7.0, 138.0, 0.0, 34.0, 9.0, 123.0, 19.0, 89.0, 7.0, 103.0, 12.0, 115.0
2309857, FFI16_RS10585, C->A, noncoding, -0.301955110863, 0.3763, 7, 1, 1, 1, 1, 1, FAIL, 9.0, 148.0, 0.0, 46.0, 7.0, 133.0, 18.0, 92.0, 3.0, 110.0, 16.0, 123.0
2312931, FFI16_RS10615, G->T, noncoding, 0.767797592118, 0.1329, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 133.0, 0.0, 99.0, 2.0, 147.0, 6.0, 48.0, 4.0, 80.0, 0.0, 78.0
2317514, FFI16_RS10640, C->T, missense, 0.771101015871, 0.0928, 7, 1, 1, 1, 1, 1, PASS, 0.0, 131.0, 0.0, 41.0, 6.0, 132.0, 24.0, 108.0, 65.0, 93.0, 71.0, 103.0
2331983, FFI16_RS10715, A->C, missense, -1.7370395371, 0.4036, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 130.0, 0.0, 33.0, 4.0, 144.0, 0.0, 74.0, 1.0, 116.0, 2.0, 119.0
2340976, intergenic, T->A, noncoding, -0.201408648476, 0.3938, 7, 1, 1, 1, 1, 1, FAIL, 3.0, 82.0, 0.0, 26.0, 1.0, 94.0, 6.0, 40.0, 2.0, 58.0, 6.0, 110.0
2350215, FFI16_RS10820, G->T, synonymous, -0.712846093448, 0.3951, 7, 1, 1, 1, 1, 1, FAIL, 3.0, 119.0, 0.0, 50.0, 3.0, 140.0, 15.0, 95.0, 4.0, 118.0, 3.0, 164.0
2350258, FFI16_RS10820, G->T, nonsense, -0.468432017589, 0.3894, 7, 1, 1, 1, 1, 1, FAIL, 6.0, 145.0, 0.0, 50.0, 4.0, 164.0, 20.0, 111.0, 3.0, 140.0, 7.0, 190.0
2353640, FFI16_RS10835, G->T, missense, -0.94728369418, 0.3547, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 133.0, 0.0, 47.0, 1.0, 114.0, 3.0, 136.0, 4.0, 119.0, 5.0, 110.0
2354946, intergenic, C->G, noncoding, -1.394553657, 0.4319, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 27.0, 5.0, 17.0, 2.0, 28.0, 0.0, 14.0, 0.0, 17.0, 3.0, 19.0
2354947, intergenic, A->C, noncoding, -1.43010283612, 0.4361, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 27.0, 5.0, 16.0, 2.0, 27.0, 0.0, 12.0, 0.0, 16.0, 3.0, 19.0
2355130, FFI16_RS10840, T->G, missense, -2.97949648894, 0.401, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 107.0, 0.0, 39.0, 1.0, 79.0, 1.0, 95.0, 3.0, 94.0, 2.0, 88.0
2355146, FFI16_RS10840, T->G, synonymous, -4.76455563918, 0.4183, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 119.0, 0.0, 47.0, 1.0, 85.0, 2.0, 107.0, 0.0, 105.0, 2.0, 93.0
2378710, FFI16_RS10945, C->A, missense, -0.377471249437, 0.385, 7, 1, 1, 1, 1, 1, FAIL, 6.0, 101.0, 1.0, 32.0, 1.0, 119.0, 25.0, 124.0, 5.0, 86.0, 8.0, 137.0
2379714, FFI16_RS10945, G->C, noncoding, 0.393420538248, 0.1883, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 46.0, 0.0, 20.0, 0.0, 59.0, 2.0, 11.0, 4.0, 65.0, 5.0, 44.0
2379721, intergenic, T->G, noncoding, 0.541960786477, 0.183, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 43.0, 0.0, 24.0, 1.0, 56.0, 4.0, 12.0, 12.0, 67.0, 8.0, 45.0
2379726, intergenic, A->C, noncoding, 0.287959791908, 0.2335, 7, 1, 1, 1, 1, 1, FAIL, 3.0, 42.0, 0.0, 24.0, 0.0, 59.0, 1.0, 13.0, 8.0, 69.0, 10.0, 45.0
2379726, intergenic, A->T, noncoding, 0.275582952768, 0.192, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 42.0, 0.0, 24.0, 0.0, 59.0, 4.0, 13.0, 4.0, 69.0, 4.0, 45.0
2379736, intergenic, T->G, noncoding, 0.466869293785, 0.2122, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 41.0, 0.0, 23.0, 0.0, 59.0, 3.0, 15.0, 11.0, 70.0, 5.0, 43.0
2379740, intergenic, C->G, noncoding, 0.273911747407, 0.2021, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 41.0, 0.0, 23.0, 0.0, 60.0, 3.0, 16.0, 5.0, 72.0, 2.0, 42.0
2379741, intergenic, T->G, noncoding, 0.508362447948, 0.1781, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 41.0, 0.0, 23.0, 0.0, 60.0, 3.0, 16.0, 10.0, 71.0, 3.0, 41.0
2391068, FFI16_RS10985, T->A, missense, 0.683619214506, 0.1392, 7, 1, 1, 1, 1, 1, FAIL, 3.0, 147.0, 0.0, 47.0, 0.0, 138.0, 1.0, 89.0, 16.0, 74.0, 10.0, 96.0
2391071, FFI16_RS10985, C->A, missense, 0.751702496238, 0.1388, 7, 1, 1, 1, 1, 1, FAIL, 2.0, 148.0, 0.0, 50.0, 1.0, 139.0, 1.0, 95.0, 12.0, 76.0, 10.0, 100.0
2391084, FFI16_RS10985, G->A, synonymous, 0.65188505996, 0.1763, 7, 1, 1, 1, 1, 1, FAIL, 2.0, 148.0, 0.0, 51.0, 0.0, 139.0, 0.0, 104.0, 11.0, 80.0, 8.0, 113.0
2397896, FFI16_RS11020, G->T, missense, 0.170112652467, 0.2937, 7, 1, 1, 1, 1, 1, FAIL, 5.0, 139.0, 0.0, 64.0, 6.0, 111.0, 17.0, 99.0, 10.0, 98.0, 5.0, 103.0
2405508, FFI16_RS11055, A->C, synonymous, 0.166883679867, 0.2162, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 131.0, 0.0, 50.0, 2.0, 167.0, 0.0, 68.0, 11.0, 78.0, 5.0, 110.0
2422265, FFI16_RS11155, T->G, missense, 0.24112763738, 0.205, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 93.0, 0.0, 36.0, 49.0, 116.0, 53.0, 103.0, 83.0, 104.0, 88.0, 121.0
2428639, intergenic, T->A, noncoding, 0.38134607771, 0.2231, 7, 1, 1, 1, 1, 1, FAIL, 2.0, 68.0, 0.0, 29.0, 1.0, 79.0, 4.0, 21.0, 5.0, 73.0, 10.0, 91.0
2428651, intergenic, C->A, noncoding, -0.371494392878, 0.3825, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 60.0, 0.0, 32.0, 2.0, 71.0, 6.0, 22.0, 3.0, 77.0, 14.0, 98.0
