LocusTag	protein_id	Gene	Type	Size	GC	Sequence	Fold_1	Fold_2	Fold_2_S	Fold_2_V	Fold_3	Fold_4	N	S	Spore_associated
B4U62_05330	AQZ89844.1	nan	CDS	1356	0.4506	Genome	866	219	211	8	38	233	1024.67	331.33	False
B4U62_05335	AQZ89845.1	nan	CDS	1410	0.4723	Genome	866	298	258	40	16	230	1070.0	340.0	False
B4U62_05340	AQZ89846.1	nan	CDS	429	0.4242	Genome	275	88	80	8	7	59	336.0	93.0	False
B4U62_05345	AQZ89847.1	nan	CDS	291	0.4502	Genome	171	65	57	8	1	54	214.67	76.33	False
B4U62_05350	AQZ89848.1	nan	CDS	1077	0.4243	Genome	671	246	222	24	7	153	837.33	239.67	False
B4U62_05355	AQZ89849.1	nan	CDS	492	0.3963	Genome	307	122	116	6	9	54	391.33	100.67	False
B4U62_05360	AQZ89850.1	nan	CDS	996	0.4659	Genome	647	179	168	11	27	143	775.33	220.67	False
B4U62_05365	AQZ89851.1	nan	CDS	600	0.4417	Genome	390	103	98	5	15	92	463.67	136.33	False
B4U62_05370	AQZ89852.1	nan	CDS	1335	0.4292	Genome	790	333	310	23	13	199	1016.33	318.67	False
B4U62_05375	AQZ93024.1	nan	CDS	432	0.4444	Genome	272	96	91	5	5	59	337.67	94.33	False
B4U62_05380	AQZ89853.1	nan	CDS	1182	0.4526	Genome	754	242	227	15	28	158	924.67	257.33	False
B4U62_05385	AQZ89854.1	nan	CDS	1386	0.4675	Genome	882	254	238	16	45	205	1066.33	319.67	False
B4U62_05390	AQZ89855.1	nan	CDS	357	0.4762	Genome	209	72	58	14	6	70	259.0	98.0	False
B4U62_05395	AQZ89856.1	nan	CDS	396	0.4874	Genome	240	72	55	17	11	73	291.67	104.33	False
B4U62_05400	AQZ89857.1	nan	CDS	732	0.4481	Genome	433	178	160	18	11	110	555.33	176.67	False
B4U62_05405	AQZ89858.1	nan	CDS	108	0.4074	Genome	71	22	19	3	2	13	86.33	21.67	False
B4U62_05410	AQZ89859.1	nan	CDS	1116	0.4337	Genome	721	207	195	12	35	153	870.67	245.33	False
B4U62_05415	AQZ89860.1	nan	CDS	744	0.4812	Genome	481	146	139	7	14	103	583.0	161.0	False
B4U62_05420	AQZ89861.1	nan	CDS	849	0.4547	Genome	531	178	158	20	11	129	653.33	195.67	False
B4U62_05425	AQZ89862.1	nan	CDS	849	0.4735	Genome	543	153	142	11	24	129	653.0	196.0	False
B4U62_05430	AQZ89863.1	nan	CDS	1362	0.4523	Genome	803	275	227	48	27	257	995.33	366.67	False
B4U62_05435	AQZ89864.1	nan	CDS	501	0.4611	Genome	302	118	105	13	6	75	382.67	118.33	False
B4U62_05440	AQZ89865.1	nan	CDS	162	0.4198	Genome	103	33	31	2	5	21	126.67	35.33	False
B4U62_05445	AQZ89866.1	nan	CDS	1758	0.4608	Genome	1142	294	277	17	43	279	1352.33	405.67	False
B4U62_05450	nan	nan	CDS	2021	0.4478	Genome	1256	462	403	59	44	257	1578.67	440.33	False
B4U62_05455	AQZ89867.1	nan	CDS	621	0.4734	Genome	374	138	119	19	9	100	469.0	152.0	False
B4U62_05460	AQZ89868.1	nan	CDS	126	0.3968	Genome	79	27	27	0	0	20	97.0	29.0	False
B4U62_05465	AQZ89869.1	nan	CDS	204	0.4559	Genome	122	47	39	8	3	32	154.33	49.67	True
B4U62_05470	AQZ89870.1	nan	CDS	219	0.4247	Genome	138	49	44	5	1	31	171.0	48.0	False
B4U62_05475	AQZ89871.1	nan	CDS	1362	0.4479	Genome	830	319	284	35	6	207	1044.67	317.33	True
B4U62_05480	AQZ89872.1	nan	CDS	1092	0.4377	Genome	679	245	223	22	12	156	846.33	245.67	True
B4U62_05485	AQZ89873.1	nan	CDS	1134	0.448	Genome	727	212	200	12	26	169	877.0	257.0	False
B4U62_05490	AQZ89874.1	nan	CDS	354	0.4266	Genome	234	73	72	1	5	42	284.33	69.67	False
B4U62_05495	AQZ89875.1	nan	CDS	1074	0.3957	Genome	676	233	210	23	26	139	840.0	234.0	False
B4U62_05500	AQZ89876.1	nan	CDS	867	0.4567	Genome	565	155	148	7	23	124	676.0	191.0	False
B4U62_05505	AQZ89877.1	nan	CDS	1506	0.4495	Genome	985	284	273	11	42	195	1188.33	317.67	False
B4U62_05510	AQZ89878.1	nan	CDS	1218	0.4655	Genome	728	261	233	28	8	221	904.67	313.33	False
B4U62_05515	AQZ89879.1	nan	CDS	498	0.4337	Genome	288	144	130	14	1	65	384.33	113.67	False
B4U62_05520	AQZ89880.1	nan	CDS	339	0.4897	Genome	212	59	53	6	4	64	252.67	86.33	False
B4U62_05525	AQZ89881.1	nan	CDS	768	0.4948	Genome	492	139	129	10	18	119	590.67	177.33	False
B4U62_05530	AQZ89882.1	nan	CDS	186	0.4301	Genome	122	40	38	2	2	22	149.33	36.67	False
B4U62_05535	AQZ89883.1	nan	CDS	897	0.4459	Genome	578	178	172	6	23	118	704.33	192.67	False
B4U62_05540	AQZ89884.1	nan	CDS	1260	0.4595	Genome	828	180	176	4	42	210	962.0	298.0	False
B4U62_05545	AQZ89885.1	nan	CDS	1227	0.4776	Genome	790	246	227	19	21	170	961.0	266.0	False
B4U62_05550	AQZ93025.1	nan	CDS	2892	0.4658	Genome	1856	596	558	38	46	394	2268.67	623.33	False
B4U62_05555	AQZ89886.1	nan	CDS	945	0.4434	Genome	615	177	172	5	21	132	740.0	205.0	False
B4U62_05560	AQZ89887.1	nan	CDS	213	0.4131	Genome	142	44	42	2	6	21	173.33	39.67	True
B4U62_05565	AQZ89888.1	prsA	CDS	879	0.3993	Genome	545	204	180	24	5	125	682.67	196.33	False
B4U62_05570	AQZ89889.1	nan	CDS	87	0.4368	Genome	55	14	14	0	4	14	65.67	21.33	True
B4U62_05575	AQZ89890.1	nan	CDS	87	0.3793	Genome	53	18	18	0	4	12	66.33	20.67	True
B4U62_05580	AQZ89891.1	nan	CDS	183	0.3333	Genome	112	38	37	1	7	26	139.67	43.33	False
B4U62_05585	AQZ89892.1	nan	CDS	519	0.4066	Genome	319	99	89	10	13	88	389.33	129.67	False
B4U62_05590	AQZ89893.1	nan	CDS	342	0.4094	Genome	220	77	74	3	7	38	273.67	68.33	False
B4U62_05595	AQZ89894.1	nan	CDS	612	0.4183	Genome	385	135	127	8	5	87	476.67	135.33	False
B4U62_05600	AQZ93026.1	nan	CDS	357	0.437	Genome	214	89	77	12	6	48	275.33	81.67	False
B4U62_05605	AQZ89895.1	nan	CDS	192	0.4479	Genome	121	30	28	2	5	36	142.67	49.33	False
B4U62_05610	AQZ89896.1	nan	CDS	519	0.474	Genome	310	88	77	11	7	114	371.0	148.0	False
B4U62_05615	AQZ89897.1	nan	CDS	1080	0.4546	Genome	656	241	211	30	6	177	818.67	261.33	False
B4U62_05620	AQZ89898.1	nan	CDS	438	0.4178	Genome	263	111	101	10	2	62	337.67	100.33	False
B4U62_05625	AQZ89899.1	nan	CDS	744	0.4637	Genome	474	143	135	8	14	113	574.0	170.0	False
B4U62_05630	AQZ89900.1	nan	CDS	1227	0.4629	Genome	784	221	206	15	24	198	939.33	287.67	False
B4U62_05635	AQZ89901.1	nan	CDS	711	0.4402	Genome	460	136	130	6	15	100	555.67	155.33	False
B4U62_05640	AQZ89902.1	nan	CDS	1191	0.5013	Genome	719	267	233	34	10	195	900.33	290.67	False
B4U62_05645	AQZ89903.1	nan	CDS	1392	0.4928	Genome	835	263	225	38	16	278	1015.67	376.33	False
B4U62_05650	AQZ89904.1	nan	CDS	264	0.4242	Genome	157	59	53	6	3	45	197.33	66.67	False
B4U62_05655	AQZ89905.1	nan	CDS	501	0.4531	Genome	307	121	113	8	2	71	388.33	112.67	False
B4U62_05660	AQZ89906.1	nan	CDS	2145	0.4569	Genome	1398	377	362	15	48	322	1665.33	479.67	False
B4U62_05665	AQZ89907.1	nan	CDS	1062	0.4783	Genome	700	177	168	9	27	158	827.0	235.0	False
B4U62_05670	AQZ89908.1	nan	CDS	933	0.4544	Genome	610	180	172	8	18	125	736.0	197.0	False
B4U62_05675	AQZ89909.1	nan	CDS	1413	0.4848	Genome	918	241	231	10	27	227	1087.67	325.33	False
B4U62_05680	AQZ89910.1	nan	CDS	576	0.4392	Genome	375	110	106	4	17	74	454.0	122.0	False
B4U62_05685	AQZ89911.1	nan	CDS	2328	0.4454	Genome	1504	440	433	7	50	334	1814.0	514.0	False
B4U62_05690	AQZ89912.1	nan	CDS	978	0.4796	Genome	594	214	181	33	9	161	739.67	238.33	False
B4U62_05695	AQZ89913.1	nan	CDS	777	0.4543	Genome	494	137	130	7	23	123	593.0	184.0	False
B4U62_05700	AQZ89914.1	nan	CDS	192	0.3802	Genome	111	56	49	7	1	24	148.67	43.33	False
B4U62_05705	AQZ89915.1	nan	CDS	1041	0.4659	Genome	681	174	168	6	29	157	806.67	234.33	False
B4U62_05710	AQZ89916.1	nan	CDS	408	0.4338	Genome	260	90	85	5	7	51	322.33	85.67	False
B4U62_05715	AQZ89917.1	nan	CDS	1290	0.4411	Genome	775	282	252	30	18	215	969.0	321.0	False
B4U62_05720	AQZ89918.1	nan	CDS	141	0.3617	Genome	89	36	34	2	2	14	113.67	27.33	False
B4U62_05725	AQZ89919.1	nan	CDS	735	0.468	Genome	476	129	128	1	13	117	566.33	168.67	False
B4U62_05730	AQZ89920.1	nan	CDS	996	0.4217	Genome	648	199	194	5	31	118	791.0	205.0	False
B4U62_05735	AQZ89921.1	nan	CDS	645	0.4915	Genome	415	106	100	6	16	108	491.0	154.0	False
B4U62_05740	AQZ89922.1	nan	CDS	1542	0.4942	Genome	1000	282	266	16	27	233	1197.0	345.0	False
B4U62_05745	AQZ89923.1	nan	CDS	396	0.399	Genome	240	99	88	11	4	53	307.33	88.67	False
B4U62_05750	AQZ89924.1	nan	CDS	1281	0.4496	Genome	827	238	230	8	27	189	994.67	286.33	False
B4U62_05755	AQZ89925.1	nan	CDS	1146	0.4642	Genome	691	258	208	50	7	190	865.33	280.67	False
B4U62_05760	AQZ89926.1	nan	CDS	450	0.4533	Genome	286	93	87	6	7	64	350.33	99.67	False
B4U62_05765	AQZ89927.1	nan	CDS	993	0.5035	Genome	637	159	151	8	16	181	748.33	244.67	False
B4U62_05770	AQZ89928.1	nan	CDS	972	0.4527	Genome	630	173	168	5	21	148	752.33	219.67	False
B4U62_05775	AQZ89929.1	nan	CDS	582	0.4725	Genome	360	129	113	16	7	86	448.33	133.67	False
B4U62_05780	AQZ89930.1	nan	CDS	1095	0.5269	Genome	640	253	201	52	9	193	811.67	283.33	False
B4U62_05785	AQZ89931.1	nan	CDS	1440	0.491	Genome	877	303	260	43	10	250	1082.33	357.67	False
B4U62_05790	AQZ89932.1	nan	CDS	561	0.4742	Genome	350	88	73	15	7	116	411.0	150.0	False
B4U62_05795	AQZ89933.1	nan	CDS	1299	0.4119	Genome	773	340	311	29	11	175	1003.33	295.67	False
B4U62_05800	AQZ89934.1	nan	CDS	1530	0.4569	Genome	928	364	324	40	15	223	1175.67	354.33	False
B4U62_05805	AQZ89935.1	nan	CDS	858	0.4802	Genome	557	145	142	3	21	135	660.67	197.33	False
B4U62_05810	AQZ89936.1	nan	CDS	234	0.4103	Genome	151	49	48	1	0	34	183.67	50.33	False
B4U62_05815	AQZ89937.1	nan	CDS	579	0.4404	Genome	377	113	103	10	14	75	457.0	122.0	False
B4U62_05820	AQZ89938.1	nan	CDS	900	0.4878	Genome	544	204	173	31	7	145	682.33	217.67	False
B4U62_05825	AQZ89939.1	nan	CDS	270	0.4593	Genome	176	49	48	1	1	44	209.0	61.0	False
B4U62_05830	AQZ89940.1	nan	CDS	1470	0.498	Genome	882	288	250	38	7	293	1076.33	393.67	False
B4U62_05835	AQZ89941.1	nan	CDS	201	0.4478	Genome	120	43	40	3	2	36	149.33	51.67	False
B4U62_05840	AQZ89942.1	nan	CDS	363	0.4022	Genome	222	87	80	7	8	46	282.67	80.33	False
B4U62_05845	AQZ89943.1	nan	CDS	624	0.4728	Genome	390	118	108	10	16	100	474.0	150.0	False
B4U62_05850	AQZ89944.1	nan	CDS	507	0.4142	Genome	327	98	93	5	11	71	396.0	111.0	False
B4U62_05855	AQZ89945.1	nan	CDS	1500	0.5333	Genome	960	241	216	25	23	276	1128.33	371.67	False
B4U62_05860	AQZ89946.1	nan	CDS	528	0.428	Genome	338	112	107	5	9	69	415.67	112.33	False
B4U62_05865	AQZ89947.1	nan	CDS	1206	0.3358	Genome	741	267	241	26	48	150	935.0	271.0	False
B4U62_05870	AQZ89948.1	nan	CDS	1053	0.3723	Genome	670	242	218	24	22	119	838.67	214.33	False
B4U62_05875	AQZ89949.1	nan	CDS	849	0.351	Genome	522	230	213	17	23	74	683.0	166.0	False
B4U62_05880	AQZ89950.1	nan	CDS	1326	0.3431	Genome	830	326	302	24	35	135	1059.0	267.0	False
B4U62_05885	AQZ89951.1	nan	CDS	990	0.3556	Genome	627	220	208	12	36	107	785.67	204.33	False
B4U62_05890	AQZ89952.1	nan	CDS	1155	0.5013	Genome	689	219	189	30	11	236	838.67	316.33	False
B4U62_05895	AQZ89953.1	nan	CDS	1206	0.4826	Genome	747	192	166	26	17	250	880.67	325.33	False
B4U62_05900	AQZ89954.1	nan	CDS	1728	0.4751	Genome	1106	349	326	23	28	245	1348.0	380.0	False
B4U62_05905	AQZ89955.1	nan	CDS	327	0.4954	Genome	203	67	60	7	0	57	247.67	79.33	False
B4U62_05910	AQZ89956.1	nan	CDS	438	0.4772	Genome	269	104	96	8	2	63	339.0	99.0	False
B4U62_05915	AQZ89957.1	nan	CDS	3501	0.4904	Genome	2252	696	656	40	57	496	2735.0	766.0	False
B4U62_05920	AQZ89958.1	nan	CDS	3699	0.4877	Genome	2374	718	674	44	69	538	2875.67	823.33	False
B4U62_05925	AQZ89959.1	nan	CDS	1176	0.5153	Genome	748	219	202	17	23	186	901.67	274.33	False
B4U62_05930	AQZ89960.1	nan	CDS	3393	0.4807	Genome	2176	700	654	46	50	467	2659.33	733.67	False
B4U62_05935	AQZ89961.1	nan	CDS	303	0.4521	Genome	195	62	57	5	6	40	238.33	64.67	False
B4U62_05940	AQZ89962.1	nan	CDS	219	0.4429	Genome	130	52	44	8	5	32	166.33	52.67	False
B4U62_05945	AQZ89963.1	nan	CDS	402	0.4602	Genome	247	91	83	8	4	60	309.0	93.0	False
B4U62_05950	AQZ89964.1	nan	CDS	177	0.4689	Genome	106	37	35	2	0	34	130.67	46.33	False
B4U62_05955	AQZ89965.1	nan	CDS	618	0.4401	Genome	374	161	152	9	2	81	482.0	136.0	False
B4U62_05960	AQZ89966.1	nan	CDS	243	0.4979	Genome	145	50	43	7	0	48	178.33	64.67	False
B4U62_05965	AQZ89967.1	nan	CDS	222	0.5045	Genome	124	61	53	8	0	37	164.67	57.33	False
B4U62_05970	AQZ89968.1	nan	CDS	171	0.3626	Genome	102	45	42	3	1	23	132.33	38.67	False
B4U62_05975	AQZ89969.1	nan	CDS	924	0.4535	Genome	582	197	181	16	9	136	716.33	207.67	True
B4U62_05980	AQZ89970.1	nan	CDS	906	0.4647	Genome	595	147	141	6	29	135	702.67	203.33	False
B4U62_05985	AQZ89971.1	nan	CDS	357	0.4538	Genome	227	56	55	1	14	60	269.0	88.0	False
B4U62_05990	AQZ89972.1	nan	CDS	2685	0.4492	Genome	1758	476	464	12	36	415	2087.33	597.67	False
B4U62_05995	AQZ93027.1	nan	CDS	588	0.4847	Genome	364	126	111	15	4	94	449.33	138.67	False
B4U62_06000	AQZ89973.1	nan	CDS	1845	0.4753	Genome	1203	355	332	23	31	256	1450.0	395.0	False
B4U62_06005	AQZ89974.1	nan	CDS	480	0.3438	Genome	296	122	114	8	12	50	381.33	98.67	False
B4U62_06010	AQZ89975.1	nan	CDS	825	0.4679	Genome	529	170	161	9	11	115	646.0	179.0	False
B4U62_06015	AQZ89976.1	nan	CDS	1368	0.4539	Genome	800	282	242	40	17	269	993.67	374.33	False
B4U62_06020	AQZ89977.1	nan	CDS	864	0.4757	Genome	562	163	154	9	14	125	675.33	188.67	False
B4U62_06025	AQZ89978.1	nan	CDS	1014	0.4763	Genome	664	159	147	12	35	156	781.67	232.33	False
B4U62_06030	AQZ89979.1	nan	CDS	1029	0.484	Genome	661	184	170	14	30	154	793.67	235.33	False
B4U62_06035	AQZ93028.1	nan	CDS	510	0.4588	Genome	321	108	95	13	6	75	395.0	115.0	False
B4U62_06040	AQZ89980.1	nan	CDS	663	0.4781	Genome	396	129	110	19	7	131	484.33	178.67	False
B4U62_06045	AQZ89981.1	nan	CDS	1455	0.4997	Genome	937	250	227	23	33	235	1114.67	340.33	False
B4U62_06050	AQZ89982.1	nan	CDS	639	0.4491	Genome	384	150	133	17	3	102	485.0	154.0	False
B4U62_06055	AQZ89983.1	nan	CDS	807	0.4746	Genome	519	161	150	11	20	107	633.0	174.0	False
B4U62_06060	AQZ89984.1	nan	CDS	600	0.4683	Genome	360	147	130	17	4	89	459.33	140.67	False
B4U62_06065	AQZ89985.1	nan	CDS	1170	0.5009	Genome	708	267	226	41	6	189	888.0	282.0	False
B4U62_06070	AQZ89986.1	nan	CDS	711	0.4824	Genome	440	153	136	17	5	113	543.67	167.33	False
B4U62_06075	AQZ89987.1	nan	CDS	687	0.4687	Genome	448	115	111	4	21	103	531.67	155.33	False
B4U62_06080	AQZ89988.1	nan	CDS	759	0.4282	Genome	488	154	146	8	22	95	598.0	161.0	False
B4U62_06085	AQZ89989.1	nan	CDS	630	0.4587	Genome	374	125	105	20	8	123	460.0	170.0	False
B4U62_06090	AQZ89990.1	nan	CDS	1116	0.5027	Genome	670	246	216	30	8	192	836.67	279.33	False
B4U62_06095	AQZ89991.1	nan	CDS	1269	0.4563	Genome	768	261	226	35	18	222	948.0	321.0	False
B4U62_06100	AQZ89992.1	nan	CDS	849	0.4641	Genome	527	194	173	21	6	122	658.33	190.67	False
B4U62_06105	AQZ89993.1	nan	CDS	465	0.4903	Genome	276	111	92	19	2	76	350.67	114.33	False
B4U62_06110	AQZ89994.1	nan	CDS	1839	0.4829	Genome	1117	409	366	43	18	295	1395.67	443.33	False
B4U62_06115	AQZ89995.1	nan	CDS	492	0.4228	Genome	296	130	117	13	3	63	383.67	108.33	False
B4U62_06120	AQZ89996.1	nan	CDS	897	0.4671	Genome	581	186	171	15	16	114	710.33	186.67	False
B4U62_06125	AQZ89997.1	nan	CDS	585	0.4171	Genome	363	142	137	5	2	78	458.33	126.67	False
B4U62_06130	AQZ89998.1	nan	CDS	930	0.4602	Genome	539	212	182	30	9	170	683.33	246.67	False
B4U62_06135	AQZ89999.1	nan	CDS	537	0.4637	Genome	320	111	91	20	7	99	396.33	140.67	False
B4U62_06140	AQZ90000.1	nan	CDS	348	0.431	Genome	221	71	68	3	7	49	270.67	77.33	False
B4U62_06145	AQZ90001.1	nan	CDS	588	0.4677	Genome	370	115	105	10	13	90	451.0	137.0	False
B4U62_06150	AQZ90002.1	nan	CDS	294	0.3912	Genome	185	59	56	3	13	37	228.67	65.33	False
B4U62_06155	AQZ90003.1	nan	CDS	1617	0.4558	Genome	1061	281	275	6	32	243	1259.0	358.0	False
B4U62_06160	AQZ90004.1	nan	CDS	846	0.4598	Genome	517	184	166	18	7	138	642.0	204.0	False
B4U62_06165	AQZ90005.1	nan	CDS	843	0.4448	Genome	542	138	135	3	29	134	643.67	199.33	False
B4U62_06170	AQZ93029.1	nan	CDS	360	0.4111	Genome	238	76	74	2	4	42	290.0	70.0	False
B4U62_06175	AQZ90006.1	nan	CDS	198	0.4394	Genome	122	51	47	4	0	25	156.0	42.0	False
B4U62_06180	AQZ90007.1	nan	CDS	813	0.4563	Genome	496	188	167	21	12	117	625.33	187.67	False
B4U62_06185	AQZ90008.1	nan	CDS	768	0.4883	Genome	497	142	136	6	21	108	598.67	169.33	False
B4U62_06190	AQZ90009.1	nan	CDS	309	0.4595	Genome	203	53	51	2	8	45	241.0	68.0	False
B4U62_06195	AQZ90010.1	nan	CDS	171	0.5205	Genome	105	34	31	3	4	28	129.0	42.0	False
B4U62_06200	AQZ90011.1	nan	CDS	1431	0.4486	Genome	935	272	257	15	26	198	1125.0	306.0	False
B4U62_06205	AQZ93030.1	nan	CDS	495	0.4424	Genome	322	88	86	2	11	74	384.33	110.67	False
B4U62_06210	AQZ90012.1	nan	CDS	1038	0.4624	Genome	671	184	174	10	24	159	801.67	236.33	False
B4U62_06215	AQZ90013.1	nan	CDS	1221	0.4971	Genome	801	193	188	5	32	195	940.33	280.67	False
B4U62_06220	AQZ90014.1	nan	CDS	777	0.4813	Genome	505	126	122	4	17	129	594.67	182.33	False
B4U62_06225	AQZ90015.1	argD	CDS	1158	0.4957	Genome	757	191	187	4	24	186	892.33	265.67	False
B4U62_06230	AQZ90016.1	nan	CDS	1062	0.4689	Genome	692	189	181	8	25	156	826.33	235.67	False
B4U62_06235	AQZ90017.1	nan	CDS	3093	0.4694	Genome	2024	514	499	15	84	471	2394.67	698.33	False
B4U62_06240	AQZ90018.1	nan	CDS	960	0.4844	Genome	623	169	167	2	19	149	742.0	218.0	False
B4U62_06245	AQZ90019.1	nan	CDS	180	0.5222	Genome	118	34	31	3	1	27	141.0	39.0	False
B4U62_06250	AQZ90020.1	nan	CDS	186	0.3602	Genome	108	43	40	3	3	32	137.67	48.33	False
B4U62_06255	AQZ90021.1	nan	CDS	735	0.4286	Genome	481	151	146	5	15	88	586.67	148.33	False
B4U62_06260	AQZ90022.1	nan	CDS	558	0.3889	Genome	362	127	120	7	10	59	450.0	108.0	False
B4U62_06265	AQZ90023.1	nan	CDS	954	0.4308	Genome	631	174	171	3	19	130	753.33	200.67	False
B4U62_06270	AQZ90024.1	nan	CDS	192	0.4167	Genome	130	34	34	0	3	25	153.67	38.33	False
B4U62_06275	AQZ90025.1	nan	CDS	240	0.4167	Genome	149	57	55	2	1	33	187.33	52.67	False
B4U62_06280	AQZ90026.1	nan	CDS	939	0.4622	Genome	621	139	132	7	21	158	720.67	218.33	False
B4U62_06285	AQZ90027.1	nan	CDS	1242	0.467	Genome	821	186	178	8	30	205	955.0	287.0	False
B4U62_06290	AQZ90028.1	nan	CDS	786	0.43	Genome	508	157	147	10	15	106	617.67	168.33	False
B4U62_06295	AQZ90029.1	nan	CDS	987	0.459	Genome	643	175	165	10	23	146	767.33	219.67	False
B4U62_06300	AQZ90030.1	nan	CDS	990	0.4596	Genome	636	180	166	14	20	154	762.67	227.33	False
B4U62_06305	AQZ90031.1	nan	CDS	1632	0.4001	Genome	1070	337	332	5	28	197	1304.0	328.0	False
B4U62_06310	AQZ90032.1	nan	CDS	951	0.4196	Genome	608	162	149	13	35	146	727.67	223.33	False
B4U62_06315	AQZ90033.1	nan	CDS	912	0.432	Genome	581	153	146	7	34	144	694.33	217.67	False
B4U62_06320	AQZ90034.1	nan	CDS	753	0.4183	Genome	489	166	156	10	14	84	604.33	148.67	False
B4U62_06325	AQZ93031.1	nan	CDS	993	0.4532	Genome	602	241	216	25	6	144	764.67	228.33	False
B4U62_06330	AQZ90035.1	nan	CDS	1638	0.4145	Genome	1093	297	296	1	27	221	1300.0	338.0	False
B4U62_06335	AQZ90036.1	nan	CDS	936	0.4466	Genome	609	145	140	5	28	154	715.0	221.0	False
B4U62_06340	AQZ90037.1	nan	CDS	918	0.4477	Genome	606	130	124	6	30	152	702.67	215.33	False
B4U62_06345	AQZ90038.1	nan	CDS	1077	0.4717	Genome	702	176	167	9	24	175	827.33	249.67	False
B4U62_06350	AQZ90039.1	nan	CDS	918	0.4488	Genome	586	183	172	11	18	131	714.0	204.0	False
B4U62_06355	AQZ90040.1	nan	CDS	1218	0.4565	Genome	789	183	173	10	35	211	922.67	295.33	False
B4U62_06360	AQZ90041.1	nan	CDS	579	0.3817	Genome	377	134	128	6	13	55	470.67	108.33	False
B4U62_06365	AQZ90042.1	nan	CDS	396	0.4192	Genome	249	84	77	7	12	51	309.0	87.0	False
B4U62_06370	AQZ90043.1	nan	CDS	657	0.4642	Genome	376	174	149	25	6	101	494.0	163.0	False
B4U62_06375	AQZ90044.1	nan	CDS	657	0.4003	Genome	426	144	140	4	15	72	527.0	130.0	False
B4U62_06380	AQZ90045.1	nan	CDS	1152	0.4497	Genome	739	233	212	21	25	155	902.67	249.33	False
B4U62_06385	AQZ90046.1	nan	CDS	2013	0.4342	Genome	1304	415	404	11	30	264	1590.67	422.33	False
B4U62_06390	AQZ90047.1	nan	CDS	168	0.381	Genome	102	30	29	1	1	35	122.33	45.67	False
B4U62_06395	AQZ90048.1	nan	CDS	204	0.3922	Genome	131	46	45	1	5	22	163.33	40.67	False
B4U62_06400	AQZ90049.1	nan	CDS	900	0.4211	Genome	560	210	193	17	8	122	702.67	197.33	False
B4U62_06405	AQZ90050.1	nan	CDS	399	0.4762	Genome	250	84	74	10	3	62	307.0	92.0	False
B4U62_06410	AQZ93032.1	nan	CDS	546	0.4652	Genome	327	123	105	18	3	93	410.0	136.0	False
B4U62_06415	AQZ90051.1	nan	CDS	573	0.4154	Genome	358	141	129	12	9	65	455.0	118.0	False
B4U62_06420	AQZ90052.1	nan	CDS	369	0.3957	Genome	239	77	76	1	8	45	293.0	76.0	False
B4U62_06425	AQZ90053.1	nan	CDS	636	0.4544	Genome	413	126	116	10	15	82	502.0	134.0	False
B4U62_06430	AQZ90054.1	nan	CDS	801	0.4557	Genome	518	145	136	9	18	120	620.67	180.33	False
B4U62_06435	AQZ93033.1	nan	CDS	852	0.4977	Genome	547	148	135	13	19	138	652.0	200.0	False
B4U62_06440	AQZ90055.1	nan	CDS	735	0.4653	Genome	446	170	145	25	10	109	562.67	172.33	False
B4U62_06445	AQZ90056.1	nan	CDS	1845	0.4385	Genome	1186	297	286	11	62	300	1404.67	440.33	False
B4U62_06450	AQZ90057.1	nan	CDS	711	0.488	Genome	473	133	130	3	9	96	564.67	146.33	False
B4U62_06455	AQZ90058.1	nan	CDS	618	0.4822	Genome	391	114	102	12	21	92	474.0	144.0	False
B4U62_06460	AQZ90059.1	nan	CDS	1110	0.4847	Genome	730	197	188	9	19	164	867.67	242.33	False
B4U62_06465	AQZ93034.1	nan	CDS	201	0.408	Genome	131	38	37	1	7	25	158.67	42.33	False
B4U62_06470	AQZ90060.1	nan	CDS	771	0.4903	Genome	497	118	111	7	16	140	581.0	190.0	False
B4U62_06475	AQZ90061.1	nan	CDS	1011	0.5104	Genome	650	170	157	13	21	170	770.33	240.67	False
B4U62_06480	AQZ90062.1	nan	CDS	816	0.4951	Genome	535	131	124	7	20	130	629.0	187.0	False
B4U62_06485	AQZ90063.1	nan	CDS	777	0.4813	Genome	511	118	117	1	21	127	596.67	180.33	False
B4U62_06490	AQZ90064.1	nan	CDS	684	0.4868	Genome	443	138	126	12	10	93	538.33	145.67	True
B4U62_06495	AQZ90065.1	nan	CDS	447	0.4228	Genome	274	96	85	11	9	68	341.0	106.0	True
B4U62_06500	AQZ90066.1	nan	CDS	489	0.454	Genome	300	110	97	13	7	72	375.67	113.33	True
B4U62_06505	AQZ90067.1	nan	CDS	519	0.4162	Genome	318	124	116	8	5	72	402.33	116.67	True
B4U62_06510	AQZ90068.1	nan	CDS	318	0.3585	Genome	202	78	74	4	6	32	256.0	62.0	True
B4U62_06515	AQZ90069.1	nan	CDS	387	0.4005	Genome	232	89	84	5	7	59	293.67	93.33	True
B4U62_06520	AQZ90070.1	nan	CDS	357	0.507	Genome	227	58	56	2	13	59	270.0	87.0	True
B4U62_06525	AQZ90071.1	nan	CDS	207	0.3768	Genome	133	55	53	2	3	16	170.67	36.33	False
B4U62_06530	AQZ90072.1	nan	CDS	150	0.5067	Genome	97	21	21	0	3	29	112.0	38.0	True
B4U62_06535	AQZ90073.1	nan	CDS	255	0.3569	Genome	173	48	47	1	5	29	206.67	48.33	True
